Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Primary Target,Pathway,Mean Normalized Growth Rate Inhibition Value,Increased Fraction Dead
50583-6,MCF 10A,10444-101-1,Cediranib,3.1623,VEGFR/cKIT,RTK,0.9680,-0.00217
50583-6,MCF 10A,10444-101-1,Cediranib,10.0,VEGFR/cKIT,RTK,0.4781,0.01325
50583-6,MCF 10A,10194-106-1,Cabozantinib,0.001,VEGFR2/MET,RTK,1.0043,0.00034
50583-6,MCF 10A,10194-106-1,Cabozantinib,0.0031623,VEGFR2/MET,RTK,0.9977,0.00051
50583-6,MCF 10A,10194-106-1,Cabozantinib,0.01,VEGFR2/MET,RTK,1.0116,0.00015
50583-6,MCF 10A,10194-106-1,Cabozantinib,0.031623,VEGFR2/MET,RTK,1.0213,0.00255
50583-6,MCF 10A,10194-106-1,Cabozantinib,0.1,VEGFR2/MET,RTK,1.0347,0.00414
50583-6,MCF 10A,10194-106-1,Cabozantinib,0.31623,VEGFR2/MET,RTK,1.0316,0.00638
50583-6,MCF 10A,10194-106-1,Cabozantinib,1.0,VEGFR2/MET,RTK,1.0476,0.00809
50583-6,MCF 10A,10194-106-1,Cabozantinib,3.1623,VEGFR2/MET,RTK,1.0233,0.00799
50583-6,MCF 10A,10194-106-1,Cabozantinib,10.0,VEGFR2/MET,RTK,0.8434,0.00621
50029-2,MCF7,10390-103-1,Abemaciclib,0.001,CDK4/6,Cell cycle,0.8973,0.00124
50029-2,MCF7,10390-103-1,Abemaciclib,0.0031623,CDK4/6,Cell cycle,0.7894,0.00211
50029-2,MCF7,10390-103-1,Abemaciclib,0.01,CDK4/6,Cell cycle,0.5295,0.01381
50029-2,MCF7,10390-103-1,Abemaciclib,0.031623,CDK4/6,Cell cycle,0.3537,0.02589
50029-2,MCF7,10390-103-1,Abemaciclib,0.1,CDK4/6,Cell cycle,0.2506,0.03087
50029-2,MCF7,10390-103-1,Abemaciclib,0.31623,CDK4/6,Cell cycle,0.2236,0.03533
50029-2,MCF7,10390-103-1,Abemaciclib,1.0,CDK4/6,Cell cycle,0.1092,0.05999
50029-2,MCF7,10390-103-1,Abemaciclib,3.1623,CDK4/6,Cell cycle,-0.1849,0.28178
50029-2,MCF7,10390-103-1,Abemaciclib,10.0,CDK4/6,Cell cycle,-0.2684,0.37106
50029-2,MCF7,10071-101-1,Palbociclib,0.00031623,CDK4/6,Cell cycle,1.0497,-0.00053
50029-2,MCF7,10071-101-1,Palbociclib,0.001,CDK4/6,Cell cycle,1.0148,-0.00035
50029-2,MCF7,10071-101-1,Palbociclib,0.0031623,CDK4/6,Cell cycle,0.9626,0.00110
50029-2,MCF7,10071-101-1,Palbociclib,0.01,CDK4/6,Cell cycle,0.8482,0.00569
50029-2,MCF7,10071-101-1,Palbociclib,0.031623,CDK4/6,Cell cycle,0.6284,0.00999
50029-2,MCF7,10071-101-1,Palbociclib,0.1,CDK4/6,Cell cycle,0.4771,0.02002
50029-2,MCF7,10071-101-1,Palbociclib,0.31623,CDK4/6,Cell cycle,0.3498,0.02137
50029-2,MCF7,10071-101-1,Palbociclib,1.0,CDK4/6,Cell cycle,0.2988,0.03512
50029-2,MCF7,10071-101-1,Palbociclib,3.1623,CDK4/6,Cell cycle,0.2542,0.03271
50029-2,MCF7,10006-101-1,AZD7762,0.001,CHK1/2,Cell cycle,1.0613,0.00059
50029-2,MCF7,10006-101-1,AZD7762,0.0031623,CHK1/2,Cell cycle,1.0516,0.00377
50029-2,MCF7,10006-101-1,AZD7762,0.01,CHK1/2,Cell cycle,0.8201,0.03043
50029-2,MCF7,10006-101-1,AZD7762,0.031623,CHK1/2,Cell cycle,0.4485,0.08317
50029-2,MCF7,10006-101-1,AZD7762,0.1,CHK1/2,Cell cycle,0.2606,0.12493
50029-2,MCF7,10006-101-1,AZD7762,0.31623,CHK1/2,Cell cycle,0.2020,0.14115
50029-2,MCF7,10006-101-1,AZD7762,1.0,CHK1/2,Cell cycle,0.0645,0.19217
50029-2,MCF7,10006-101-1,AZD7762,3.1623,CHK1/2,Cell cycle,-0.0593,0.24287
50029-2,MCF7,10006-101-1,AZD7762,10.0,CHK1/2,Cell cycle,-0.1856,0.36741
50029-2,MCF7,10387-101-1,Volasertib,0.0001,PLK,Cell cycle,1.0847,-0.00321
50029-2,MCF7,10387-101-1,Volasertib,0.00031623,PLK,Cell cycle,1.0510,0.00013
50029-2,MCF7,10387-101-1,Volasertib,0.001,PLK,Cell cycle,0.9905,0.00586
50029-2,MCF7,10387-101-1,Volasertib,0.0031623,PLK,Cell cycle,0.4017,0.10378
50029-2,MCF7,10387-101-1,Volasertib,0.01,PLK,Cell cycle,0.0437,0.24132
50029-2,MCF7,10387-101-1,Volasertib,0.031623,PLK,Cell cycle,0.0546,0.24395
50029-2,MCF7,10387-101-1,Volasertib,0.1,PLK,Cell cycle,0.0625,0.21651
50029-2,MCF7,10387-101-1,Volasertib,0.31623,PLK,Cell cycle,0.0327,0.16201
50029-2,MCF7,10387-101-1,Volasertib,1.0,PLK,Cell cycle,-0.0338,0.14981
50029-2,MCF7,10287-101-2,Dinaciclib,0.0001,pan CDK,Cell cycle,1.0167,-0.00027
50029-2,MCF7,10287-101-2,Dinaciclib,0.00031623,pan CDK,Cell cycle,0.9849,0.00004
50029-2,MCF7,10287-101-2,Dinaciclib,0.001,pan CDK,Cell cycle,0.9930,-0.00030
50029-2,MCF7,10287-101-2,Dinaciclib,0.0031623,pan CDK,Cell cycle,0.9638,0.00285
50029-2,MCF7,10287-101-2,Dinaciclib,0.01,pan CDK,Cell cycle,0.2967,0.07764
50029-2,MCF7,10287-101-2,Dinaciclib,0.031623,pan CDK,Cell cycle,-0.2589,0.32613
50029-2,MCF7,10287-101-2,Dinaciclib,0.1,pan CDK,Cell cycle,-0.2745,0.27166
50029-2,MCF7,10287-101-2,Dinaciclib,0.31623,pan CDK,Cell cycle,-0.2416,0.22207
50029-2,MCF7,10287-101-2,Dinaciclib,1.0,pan CDK,Cell cycle,-0.2493,0.23039
50029-2,MCF7,10245-999-4,Cisplatin,0.0010833,Chemo,Chemotherapy,1.0155,-0.00053
50029-2,MCF7,10245-999-4,Cisplatin,0.0033333,Chemo,Chemotherapy,1.0038,-0.00028
50029-2,MCF7,10245-999-4,Cisplatin,0.01,Chemo,Chemotherapy,1.0128,-0.00016
50029-2,MCF7,10245-999-4,Cisplatin,0.031667,Chemo,Chemotherapy,1.0295,0.00025
50029-2,MCF7,10245-999-4,Cisplatin,0.1,Chemo,Chemotherapy,1.0003,0.00055
50029-2,MCF7,10245-999-4,Cisplatin,0.31623,Chemo,Chemotherapy,0.9807,-0.00008
50029-2,MCF7,10245-999-4,Cisplatin,1.0,Chemo,Chemotherapy,0.9293,-0.00010
50029-2,MCF7,10245-999-4,Cisplatin,3.1623,Chemo,Chemotherapy,0.7984,-0.00228
50029-2,MCF7,10245-999-4,Cisplatin,10.0,Chemo,Chemotherapy,0.4749,0.03626
50029-2,MCF7,10248-102-3,Doxorubicin,0.00031623,Chemo,Chemotherapy,0.9780,0.00219
50029-2,MCF7,10248-102-3,Doxorubicin,0.001,Chemo,Chemotherapy,1.0236,0.00107
50029-2,MCF7,10248-102-3,Doxorubicin,0.0031623,Chemo,Chemotherapy,0.9283,0.00565
50029-2,MCF7,10248-102-3,Doxorubicin,0.01,Chemo,Chemotherapy,0.5842,0.03652
50029-2,MCF7,10248-102-3,Doxorubicin,0.031623,Chemo,Chemotherapy,0.2156,0.06740
50029-2,MCF7,10248-102-3,Doxorubicin,0.1,Chemo,Chemotherapy,0.0771,0.06013
50029-2,MCF7,10248-102-3,Doxorubicin,0.31623,Chemo,Chemotherapy,0.0074,0.09109
50029-2,MCF7,10248-102-3,Doxorubicin,1.0,Chemo,Chemotherapy,-0.2730,0.37605
50029-2,MCF7,10248-102-3,Doxorubicin,3.1623,Chemo,Chemotherapy,-0.2856,0.27052
50029-2,MCF7,10102-101-4,Taxol,0.0001,Chemo,Chemotherapy,0.7154,0.02464
50029-2,MCF7,10102-101-4,Taxol,0.00031623,Chemo,Chemotherapy,0.9160,0.00338
50029-2,MCF7,10102-101-4,Taxol,0.001,Chemo,Chemotherapy,0.6387,0.03335
50029-2,MCF7,10102-101-4,Taxol,0.0031623,Chemo,Chemotherapy,0.2311,0.14510
50029-2,MCF7,10102-101-4,Taxol,0.01,Chemo,Chemotherapy,-0.0356,0.23309
50029-2,MCF7,10102-101-4,Taxol,0.031623,Chemo,Chemotherapy,-0.0637,0.25262
50029-2,MCF7,10102-101-4,Taxol,0.1,Chemo,Chemotherapy,-0.0662,0.25516
50029-2,MCF7,10102-101-4,Taxol,0.31623,Chemo,Chemotherapy,-0.1059,0.24200
50029-2,MCF7,10102-101-4,Taxol,1.0,Chemo,Chemotherapy,-0.0995,0.24049
50029-2,MCF7,10278-102-2,Topotecan,0.0010833,Topo I,Chemotherapy,0.9330,-0.00177
50029-2,MCF7,10278-102-2,Topotecan,0.0033333,Topo I,Chemotherapy,0.6822,0.00833
50029-2,MCF7,10278-102-2,Topotecan,0.01,Topo I,Chemotherapy,0.3112,0.08705
50029-2,MCF7,10278-102-2,Topotecan,0.031667,Topo I,Chemotherapy,0.0342,0.04689
50029-2,MCF7,10278-102-2,Topotecan,0.1,Topo I,Chemotherapy,0.0238,0.02792
50029-2,MCF7,10278-102-2,Topotecan,0.31623,Topo I,Chemotherapy,0.0198,0.04156
50029-2,MCF7,10278-102-2,Topotecan,1.0,Topo I,Chemotherapy,-0.0482,0.09322
50029-2,MCF7,10278-102-2,Topotecan,3.1623,Topo I,Chemotherapy,-0.1545,0.27758
50029-2,MCF7,10278-102-2,Topotecan,10.0,Topo I,Chemotherapy,-0.2711,0.51761
50029-2,MCF7,10250-101-3,Etoposide,0.0010833,Topo II,Chemotherapy,0.9998,-0.00083
50029-2,MCF7,10250-101-3,Etoposide,0.0033333,Topo II,Chemotherapy,0.9807,-0.00208
50029-2,MCF7,10250-101-3,Etoposide,0.01,Topo II,Chemotherapy,0.9547,-0.00321
50029-2,MCF7,10250-101-3,Etoposide,0.031667,Topo II,Chemotherapy,0.8458,-0.00176
50029-2,MCF7,10250-101-3,Etoposide,0.1,Topo II,Chemotherapy,0.6254,0.01057
50029-2,MCF7,10250-101-3,Etoposide,0.31623,Topo II,Chemotherapy,0.2288,0.07777
50029-2,MCF7,10250-101-3,Etoposide,1.0,Topo II,Chemotherapy,-0.0382,0.04534
50029-2,MCF7,10250-101-3,Etoposide,3.1623,Topo II,Chemotherapy,-0.0441,0.04288
50029-2,MCF7,10250-101-3,Etoposide,10.0,Topo II,Chemotherapy,-0.0274,0.06621
50029-2,MCF7,10020-101-1,Dasatinib,0.001,BCR/ABL,MAPK/nRTK,0.9751,0.00258
50029-2,MCF7,10020-101-1,Dasatinib,0.0031623,BCR/ABL,MAPK/nRTK,0.9725,0.00705
50029-2,MCF7,10020-101-1,Dasatinib,0.01,BCR/ABL,MAPK/nRTK,0.9260,0.00884
50029-2,MCF7,10020-101-1,Dasatinib,0.031623,BCR/ABL,MAPK/nRTK,0.7662,0.02021
50029-2,MCF7,10020-101-1,Dasatinib,0.1,BCR/ABL,MAPK/nRTK,0.3935,0.04361
50029-2,MCF7,10020-101-1,Dasatinib,0.31623,BCR/ABL,MAPK/nRTK,0.1795,0.06106
50029-2,MCF7,10020-101-1,Dasatinib,1.0,BCR/ABL,MAPK/nRTK,0.1326,0.06127
50029-2,MCF7,10020-101-1,Dasatinib,3.1623,BCR/ABL,MAPK/nRTK,0.2004,0.05568
50029-2,MCF7,10020-101-1,Dasatinib,10.0,BCR/ABL,MAPK/nRTK,0.1574,0.09974
50029-2,MCF7,10142-101-1,Trametinib,0.0001,MEK,MAPK/nRTK,1.0030,-0.00089
50029-2,MCF7,10142-101-1,Trametinib,0.00031623,MEK,MAPK/nRTK,0.9882,0.00197
50029-2,MCF7,10142-101-1,Trametinib,0.001,MEK,MAPK/nRTK,0.8862,0.00743
50029-2,MCF7,10142-101-1,Trametinib,0.0031623,MEK,MAPK/nRTK,0.7733,0.00910
50029-2,MCF7,10142-101-1,Trametinib,0.01,MEK,MAPK/nRTK,0.6358,0.01384
50029-2,MCF7,10142-101-1,Trametinib,0.031623,MEK,MAPK/nRTK,0.6023,0.01854
50029-2,MCF7,10142-101-1,Trametinib,0.1,MEK,MAPK/nRTK,0.5517,0.02144
50029-2,MCF7,10142-101-1,Trametinib,0.31623,MEK,MAPK/nRTK,0.5581,0.01735
50029-2,MCF7,10142-101-1,Trametinib,1.0,MEK,MAPK/nRTK,0.5794,0.01371
50029-2,MCF7,10032-101-1,Saracatinib,0.001,SRC,MAPK/nRTK,1.0135,0.00191
50029-2,MCF7,10032-101-1,Saracatinib,0.0031623,SRC,MAPK/nRTK,0.9531,0.00403
50029-2,MCF7,10032-101-1,Saracatinib,0.01,SRC,MAPK/nRTK,0.9086,0.00512
50029-2,MCF7,10032-101-1,Saracatinib,0.031623,SRC,MAPK/nRTK,0.8515,0.01067
50029-2,MCF7,10032-101-1,Saracatinib,0.1,SRC,MAPK/nRTK,0.6934,0.02285
50029-2,MCF7,10032-101-1,Saracatinib,0.31623,SRC,MAPK/nRTK,0.6236,0.02546
50029-2,MCF7,10032-101-1,Saracatinib,1.0,SRC,MAPK/nRTK,0.4015,0.04196
50029-2,MCF7,10032-101-1,Saracatinib,3.1623,SRC,MAPK/nRTK,0.3461,0.04415
50029-2,MCF7,10032-101-1,Saracatinib,10.0,SRC,MAPK/nRTK,0.2735,0.06039
50029-2,MCF7,10179-101-1,ABT-737,0.001,Bcl2/XL,Misc,1.0368,0.00032
50029-2,MCF7,10179-101-1,ABT-737,0.0031623,Bcl2/XL,Misc,1.0065,0.00132
50029-2,MCF7,10179-101-1,ABT-737,0.01,Bcl2/XL,Misc,1.0485,0.00204
50029-2,MCF7,10179-101-1,ABT-737,0.031623,Bcl2/XL,Misc,1.0232,0.00264
50029-2,MCF7,10179-101-1,ABT-737,0.1,Bcl2/XL,Misc,1.0714,0.00352
50029-2,MCF7,10179-101-1,ABT-737,0.31623,Bcl2/XL,Misc,1.0224,0.00654
50029-2,MCF7,10179-101-1,ABT-737,1.0,Bcl2/XL,Misc,0.9311,0.01069
50029-2,MCF7,10179-101-1,ABT-737,3.1623,Bcl2/XL,Misc,0.9198,0.01931
50029-2,MCF7,10179-101-1,ABT-737,10.0,Bcl2/XL,Misc,0.7267,0.05756
50029-2,MCF7,10282-101-2,Vorinostat,0.001,HDAC,Misc,0.9678,0.00091
50029-2,MCF7,10282-101-2,Vorinostat,0.0031623,HDAC,Misc,0.9894,-0.00236
50029-2,MCF7,10282-101-2,Vorinostat,0.01,HDAC,Misc,1.0061,-0.00306
50029-2,MCF7,10282-101-2,Vorinostat,0.031623,HDAC,Misc,0.9936,0.00264
50029-2,MCF7,10282-101-2,Vorinostat,0.1,HDAC,Misc,0.8717,0.00763
50029-2,MCF7,10282-101-2,Vorinostat,0.31623,HDAC,Misc,0.6975,0.01978
50029-2,MCF7,10282-101-2,Vorinostat,1.0,HDAC,Misc,0.2542,0.09077
50029-2,MCF7,10282-101-2,Vorinostat,3.1623,HDAC,Misc,-0.0037,0.26078
50029-2,MCF7,10282-101-2,Vorinostat,10.0,HDAC,Misc,-0.1752,0.33565
50029-2,MCF7,10161-101-1,Luminespib,0.0001,HSP90,Misc,1.0129,-0.00003
50029-2,MCF7,10161-101-1,Luminespib,0.00031623,HSP90,Misc,0.9727,0.00305
50029-2,MCF7,10161-101-1,Luminespib,0.001,HSP90,Misc,1.0409,0.00149
50029-2,MCF7,10161-101-1,Luminespib,0.0031623,HSP90,Misc,0.9326,0.00464
50029-2,MCF7,10161-101-1,Luminespib,0.01,HSP90,Misc,0.4095,0.04179
50029-2,MCF7,10161-101-1,Luminespib,0.031623,HSP90,Misc,0.0183,0.12225
50029-2,MCF7,10161-101-1,Luminespib,0.1,HSP90,Misc,0.0015,0.14132
50029-2,MCF7,10161-101-1,Luminespib,0.31623,HSP90,Misc,0.0117,0.12837
50029-2,MCF7,10161-101-1,Luminespib,1.0,HSP90,Misc,0.0015,0.11483
50029-2,MCF7,10478-102-1,A-1210477,0.001,Mcl-1,Misc,0.9825,-0.00133
50029-2,MCF7,10478-102-1,A-1210477,0.0031623,Mcl-1,Misc,1.0351,-0.00197
50029-2,MCF7,10478-102-1,A-1210477,0.01,Mcl-1,Misc,0.9785,0.00277
50029-2,MCF7,10478-102-1,A-1210477,0.031623,Mcl-1,Misc,1.0279,0.00001
50029-2,MCF7,10478-102-1,A-1210477,0.1,Mcl-1,Misc,1.0262,0.00285
50029-2,MCF7,10478-102-1,A-1210477,0.31623,Mcl-1,Misc,1.0398,-0.00137
50029-2,MCF7,10478-102-1,A-1210477,1.0,Mcl-1,Misc,0.9874,-0.00078
50029-2,MCF7,10478-102-1,A-1210477,3.1623,Mcl-1,Misc,0.9772,-0.00131
50029-2,MCF7,10478-102-1,A-1210477,10.0,Mcl-1,Misc,0.8774,0.00784
50029-2,MCF7,10144-101-3,Olaparib,0.001,PARP,Misc,1.0065,0.00204
50029-2,MCF7,10144-101-3,Olaparib,0.0031623,PARP,Misc,0.9889,0.00239
50029-2,MCF7,10144-101-3,Olaparib,0.01,PARP,Misc,0.9747,0.00339
50029-2,MCF7,10144-101-3,Olaparib,0.031623,PARP,Misc,0.9922,0.00000
50029-2,MCF7,10144-101-3,Olaparib,0.1,PARP,Misc,1.0057,0.00013
50029-2,MCF7,10144-101-3,Olaparib,0.31623,PARP,Misc,0.9968,0.00180
50029-2,MCF7,10144-101-3,Olaparib,1.0,PARP,Misc,0.9705,0.00042
50029-2,MCF7,10144-101-3,Olaparib,3.1623,PARP,Misc,0.8680,0.00852
50029-2,MCF7,10144-101-3,Olaparib,10.0,PARP,Misc,0.5137,0.04794
50029-2,MCF7,10482-114-1,Bleomycin,0.0010833,Radiation,Misc,0.9822,0.00000
50029-2,MCF7,10482-114-1,Bleomycin,0.0033333,Radiation,Misc,0.9716,-0.00229
50029-2,MCF7,10482-114-1,Bleomycin,0.01,Radiation,Misc,0.9084,-0.00275
50029-2,MCF7,10482-114-1,Bleomycin,0.031667,Radiation,Misc,0.7580,0.00488
50029-2,MCF7,10482-114-1,Bleomycin,0.1,Radiation,Misc,0.4305,0.06425
50029-2,MCF7,10482-114-1,Bleomycin,0.31623,Radiation,Misc,0.1078,0.12660
50029-2,MCF7,10482-114-1,Bleomycin,1.0,Radiation,Misc,-0.0184,0.05793
50029-2,MCF7,10482-114-1,Bleomycin,3.1623,Radiation,Misc,-0.0459,0.03958
50029-2,MCF7,10482-114-1,Bleomycin,10.0,Radiation,Misc,-0.0230,0.11044
50029-2,MCF7,10338-101-1,Ipatasertib,0.001,AKT,PI3K/mTOR,0.9728,0.00441
50029-2,MCF7,10338-101-1,Ipatasertib,0.0031623,AKT,PI3K/mTOR,0.9829,0.00469
50029-2,MCF7,10338-101-1,Ipatasertib,0.01,AKT,PI3K/mTOR,0.9577,0.00290
50029-2,MCF7,10338-101-1,Ipatasertib,0.031623,AKT,PI3K/mTOR,0.9327,0.00677
50029-2,MCF7,10338-101-1,Ipatasertib,0.1,AKT,PI3K/mTOR,0.8212,0.01438
50029-2,MCF7,10338-101-1,Ipatasertib,0.31623,AKT,PI3K/mTOR,0.6830,0.02591
50029-2,MCF7,10338-101-1,Ipatasertib,1.0,AKT,PI3K/mTOR,0.5403,0.03530
50029-2,MCF7,10338-101-1,Ipatasertib,3.1623,AKT,PI3K/mTOR,0.3934,0.07320
50029-2,MCF7,10338-101-1,Ipatasertib,10.0,AKT,PI3K/mTOR,0.2497,0.14778
50029-2,MCF7,10233-101-1,Alpelisib,0.001,PI3Ka,PI3K/mTOR,1.0440,-0.00264
50029-2,MCF7,10233-101-1,Alpelisib,0.0031623,PI3Ka,PI3K/mTOR,1.0032,0.00120
50029-2,MCF7,10233-101-1,Alpelisib,0.01,PI3Ka,PI3K/mTOR,0.9647,0.00317
50029-2,MCF7,10233-101-1,Alpelisib,0.031623,PI3Ka,PI3K/mTOR,0.9120,0.00942
50029-2,MCF7,10233-101-1,Alpelisib,0.1,PI3Ka,PI3K/mTOR,0.7409,0.01650
50029-2,MCF7,10233-101-1,Alpelisib,0.31623,PI3Ka,PI3K/mTOR,0.5715,0.03301
50029-2,MCF7,10233-101-1,Alpelisib,1.0,PI3Ka,PI3K/mTOR,0.4026,0.05895
50029-2,MCF7,10233-101-1,Alpelisib,3.1623,PI3Ka,PI3K/mTOR,0.2657,0.11204
50029-2,MCF7,10233-101-1,Alpelisib,10.0,PI3Ka,PI3K/mTOR,0.0207,0.23457
50029-2,MCF7,10445-101-1,Taselisib,0.001,"PI3Ka, g, d",PI3K/mTOR,0.8338,0.00516
50029-2,MCF7,10445-101-1,Taselisib,0.0031623,"PI3Ka, g, d",PI3K/mTOR,0.6450,0.02654
50029-2,MCF7,10445-101-1,Taselisib,0.01,"PI3Ka, g, d",PI3K/mTOR,0.4264,0.06587
50029-2,MCF7,10445-101-1,Taselisib,0.031623,"PI3Ka, g, d",PI3K/mTOR,0.2480,0.12798
50029-2,MCF7,10445-101-1,Taselisib,0.1,"PI3Ka, g, d",PI3K/mTOR,0.1378,0.18590
50029-2,MCF7,10445-101-1,Taselisib,0.31623,"PI3Ka, g, d",PI3K/mTOR,0.1056,0.20721
50029-2,MCF7,10445-101-1,Taselisib,1.0,"PI3Ka, g, d",PI3K/mTOR,0.0257,0.25934
50029-2,MCF7,10445-101-1,Taselisib,3.1623,"PI3Ka, g, d",PI3K/mTOR,-0.0192,0.29708
50029-2,MCF7,10445-101-1,Taselisib,10.0,"PI3Ka, g, d",PI3K/mTOR,-0.2545,0.46562
50029-2,MCF7,10171-101-1,TGX221,0.001,PI3Kb,PI3K/mTOR,1.0503,-0.00033
50029-2,MCF7,10171-101-1,TGX221,0.0031623,PI3Kb,PI3K/mTOR,1.0172,0.00037
50029-2,MCF7,10171-101-1,TGX221,0.01,PI3Kb,PI3K/mTOR,1.0617,-0.00011
50029-2,MCF7,10171-101-1,TGX221,0.031623,PI3Kb,PI3K/mTOR,1.0400,0.00347
50029-2,MCF7,10171-101-1,TGX221,0.1,PI3Kb,PI3K/mTOR,1.0232,0.00002
50029-2,MCF7,10171-101-1,TGX221,0.31623,PI3Kb,PI3K/mTOR,0.9986,-0.00160
50029-2,MCF7,10171-101-1,TGX221,1.0,PI3Kb,PI3K/mTOR,1.0057,0.00023
50029-2,MCF7,10171-101-1,TGX221,3.1623,PI3Kb,PI3K/mTOR,0.9997,0.00090
50029-2,MCF7,10171-101-1,TGX221,10.0,PI3Kb,PI3K/mTOR,0.7893,0.01395
50029-2,MCF7,10080-101-1,Torin2,0.0001,mTOR/ATM/ATR,PI3K/mTOR,0.9564,0.00563
50029-2,MCF7,10080-101-1,Torin2,0.00031623,mTOR/ATM/ATR,PI3K/mTOR,0.9150,0.00711
50029-2,MCF7,10080-101-1,Torin2,0.001,mTOR/ATM/ATR,PI3K/mTOR,0.8805,0.00944
50029-2,MCF7,10080-101-1,Torin2,0.0031623,mTOR/ATM/ATR,PI3K/mTOR,0.5638,0.02943
50029-2,MCF7,10080-101-1,Torin2,0.01,mTOR/ATM/ATR,PI3K/mTOR,0.2670,0.08111
50029-2,MCF7,10080-101-1,Torin2,0.031623,mTOR/ATM/ATR,PI3K/mTOR,0.1371,0.15648
50029-2,MCF7,10080-101-1,Torin2,0.1,mTOR/ATM/ATR,PI3K/mTOR,0.0173,0.25362
50029-2,MCF7,10080-101-1,Torin2,0.31623,mTOR/ATM/ATR,PI3K/mTOR,-0.0138,0.27802
50029-2,MCF7,10080-101-1,Torin2,1.0,mTOR/ATM/ATR,PI3K/mTOR,-0.1330,0.33021
50029-2,MCF7,10235-101-1,Everolimus,0.001,mTOR1,PI3K/mTOR,0.5265,0.02664
50029-2,MCF7,10235-101-1,Everolimus,0.0031623,mTOR1,PI3K/mTOR,0.4927,0.02583
50029-2,MCF7,10235-101-1,Everolimus,0.01,mTOR1,PI3K/mTOR,0.4748,0.02949
50029-2,MCF7,10235-101-1,Everolimus,0.031623,mTOR1,PI3K/mTOR,0.4572,0.03267
50029-2,MCF7,10235-101-1,Everolimus,0.1,mTOR1,PI3K/mTOR,0.4265,0.03012
50029-2,MCF7,10235-101-1,Everolimus,0.31623,mTOR1,PI3K/mTOR,0.3694,0.04146
50029-2,MCF7,10235-101-1,Everolimus,1.0,mTOR1,PI3K/mTOR,0.4158,0.03953
50029-2,MCF7,10235-101-1,Everolimus,3.1623,mTOR1,PI3K/mTOR,0.3925,0.03514
50029-2,MCF7,10235-101-1,Everolimus,10.0,mTOR1,PI3K/mTOR,0.3865,0.04594
50029-2,MCF7,10205-101-1,INK-128,0.00031623,mTORC1/2,PI3K/mTOR,0.9456,0.00258
50029-2,MCF7,10205-101-1,INK-128,0.001,mTORC1/2,PI3K/mTOR,0.7582,0.01817
50029-2,MCF7,10205-101-1,INK-128,0.0031623,mTORC1/2,PI3K/mTOR,0.4849,0.03793
50029-2,MCF7,10205-101-1,INK-128,0.01,mTORC1/2,PI3K/mTOR,0.2012,0.09873
50029-2,MCF7,10205-101-1,INK-128,0.031623,mTORC1/2,PI3K/mTOR,0.1240,0.14922
50029-2,MCF7,10205-101-1,INK-128,0.1,mTORC1/2,PI3K/mTOR,0.0768,0.17851
50029-2,MCF7,10205-101-1,INK-128,0.31623,mTORC1/2,PI3K/mTOR,0.0526,0.20095
50029-2,MCF7,10205-101-1,INK-128,1.0,mTORC1/2,PI3K/mTOR,0.0454,0.21959
50029-2,MCF7,10205-101-1,INK-128,3.1623,mTORC1/2,PI3K/mTOR,-0.0450,0.30684
50029-2,MCF7,10404-101-1,PF-4708671,0.001,p70S6K,PI3K/mTOR,0.9795,0.00171
50029-2,MCF7,10404-101-1,PF-4708671,0.0031623,p70S6K,PI3K/mTOR,1.0439,-0.00212
50029-2,MCF7,10404-101-1,PF-4708671,0.01,p70S6K,PI3K/mTOR,1.0805,0.00096
50029-2,MCF7,10404-101-1,PF-4708671,0.031623,p70S6K,PI3K/mTOR,1.0248,0.00044
50029-2,MCF7,10404-101-1,PF-4708671,0.1,p70S6K,PI3K/mTOR,1.0199,0.00010
50029-2,MCF7,10404-101-1,PF-4708671,0.31623,p70S6K,PI3K/mTOR,0.9690,0.00156
50029-2,MCF7,10404-101-1,PF-4708671,1.0,p70S6K,PI3K/mTOR,0.8834,0.00119
50029-2,MCF7,10404-101-1,PF-4708671,3.1623,p70S6K,PI3K/mTOR,0.7716,0.00511
50029-2,MCF7,10404-101-1,PF-4708671,10.0,p70S6K,PI3K/mTOR,0.5577,0.02750
50029-2,MCF7,10147-101-1,Buparlisib,0.001,pan PI3K,PI3K/mTOR,1.0368,0.00027
50029-2,MCF7,10147-101-1,Buparlisib,0.0031623,pan PI3K,PI3K/mTOR,0.9620,0.00263
50029-2,MCF7,10147-101-1,Buparlisib,0.01,pan PI3K,PI3K/mTOR,0.9960,0.00292
50029-2,MCF7,10147-101-1,Buparlisib,0.031623,pan PI3K,PI3K/mTOR,0.8319,0.00895
50029-2,MCF7,10147-101-1,Buparlisib,0.1,pan PI3K,PI3K/mTOR,0.6029,0.03166
50029-2,MCF7,10147-101-1,Buparlisib,0.31623,pan PI3K,PI3K/mTOR,0.4278,0.05323
50029-2,MCF7,10147-101-1,Buparlisib,1.0,pan PI3K,PI3K/mTOR,-0.0211,0.23629
50029-2,MCF7,10147-101-1,Buparlisib,3.1623,pan PI3K,PI3K/mTOR,-0.2116,0.31687
50029-2,MCF7,10147-101-1,Buparlisib,10.0,pan PI3K,PI3K/mTOR,-0.2690,0.39298
